Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,New_price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Age,Cost_Efficiency
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,4.78 Lakh,12.5,4.78,False,False,True,10,0.6354855109303508
2,Honda Jazz V,Chennai,2011,46000,First,13.0,1199.0,88.7,5.0,8.61 Lakh,4.5,8.61,False,True,True,14,0.34615384615384615
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,4.78 Lakh,6.0,4.78,False,False,True,13,0.2888781896966779
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,4.78 Lakh,17.74,4.78,False,False,False,12,1.1671052631578946
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,4.78 Lakh,3.5,4.78,False,False,True,12,0.1516464471403813
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,21 Lakh,17.5,21.0,False,False,False,9,1.540492957746479
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,4.78 Lakh,5.2,4.78,False,False,True,12,0.25316455696202533
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,74.0,5.0,4.78 Lakh,1.95,4.78,False,False,True,13,0.0874439461883408
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95,10.65,False,True,True,7,0.4615027829313543
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.78 Lakh,4.49,4.78,False,True,False,13,0.26726190476190476
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,74.0,5.0,4.78 Lakh,5.6,4.78,False,False,True,10,0.2222222222222222
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,4.78 Lakh,27.0,4.78,False,False,False,11,2.125984251968504
